补丁名称,系统版本,类型,文件数量,大小,发布时间,摘要,KB编号
Windows 11 23H2 安全更新 (KB5040442),Windows 11 23H2,安全更新,4,286.5 MB,2026-07-09,修复远程桌面网关认证绕过漏洞 CVE-2026-31879，封堵 SMB 客户端提权缺陷，建议所有用户立即安装。,KB5040442
Windows 11 24H2 累积更新 (KB5043178),Windows 11 24H2,累积更新,18,742.1 MB,2026-08-13,本月累积更新包含此前全部安全修复，改进蓝牙音频稳定性，修复高刷新率显示器黑屏问题。,KB5043178
Windows 10 22H2 安全更新 (KB5040427),Windows 10 22H2,安全更新,3,198.3 MB,2026-07-09,修复 Outlook 预览远程代码执行漏洞及 Win32K 提权漏洞，共涉及 12 个 CVE。,KB5040427
Windows 10 22H2 累积更新 (KB5041582),Windows 10 22H2,累积更新,15,612.8 MB,2026-08-13,修复文件资源管理器偶发崩溃，优化开始菜单磁贴加载速度，包含 .NET Framework 安全更新。,KB5041582
Windows Server 2022 安全更新 (KB5040437),Windows Server 2022,安全更新,5,352.0 MB,2026-07-09,修复 Active Directory 证书服务欺骗漏洞，强化 LDAP 通道绑定，修复 Hyper-V 信息泄露。,KB5040437
Windows Server 2022 累积更新 (KB5042881),Windows Server 2022,累积更新,21,891.4 MB,2026-08-13,改进存储副本与故障转移群集可靠性，修复容器端口映射偶发失效问题。,KB5042881
Windows 11 24H2 服务堆栈更新 (KB5041571),Windows 11 24H2,服务堆栈更新,2,16.7 MB,2026-08-10,更新服务堆栈组件以提升后续 Windows 更新安装可靠性，需在累积更新前安装。,KB5041571
Windows 10 21H2 紧急带外补丁 (KB5042201),Windows 10 21H2,紧急补丁,1,42.9 MB,2026-06-22,紧急修复 VPN 客户端在智能卡认证后无法连接企业网关的回归问题，无需重启即可生效。,KB5042201
Windows 11 23H2 功能更新 2026-06 启用包,Windows 11 23H2,功能更新,32,1.82 GB,2026-06-03,启用 Copilot 侧边栏增强、文件资源管理器标签页、系统托盘时钟秒显示等新功能。,KB5043076
Windows 11 24H2 显卡驱动更新 (NVIDIA),Windows 11 24H2,驱动更新,9,684.2 MB,2026-08-20,NVIDIA 显示驱动 560.94，修复 DLSS 帧生成在 DirectX 12 游戏中的崩溃，新增游戏支持。,
Windows 10 22H2 打印机驱动更新,Windows 10 22H2,驱动更新,6,87.4 MB,2026-05-15,更新 HP / Canon / 爱普生通用打印驱动清单，修复 USB 打印重定向到远程会话失败。,
Windows 11 24H2 中文（简体）语言包,Windows 11 24H2,语言包,212,54.3 MB,2026-04-02,适用于 Windows 11 24H2 的中文简体界面语言体验包，含语音与手写识别资源。,
Windows Server 2019 安全更新 (KB5040430),Windows Server 2019,安全更新,4,274.6 MB,2026-07-09,修复 RDP 远程代码执行蠕虫级漏洞 CVE-2026-31855，修复 DNS Server 拒绝服务问题。,KB5040430
Windows Server 2019 累积更新 (KB5041779),Windows Server 2019,累积更新,17,703.5 MB,2026-08-13,修复卷影复制服务超时，改进重复数据删除作业在大容量卷上的性能。,KB5041779
Windows 11 23H2 累积更新 (KB5039928),Windows 11 23H2,累积更新,16,701.9 MB,2026-06-13,修复 Wi-Fi 7 适配器在唤醒后断连，改进任务管理器进程分组，修复锁屏通知泄露。,KB5039928
Windows 10 22H2 服务堆栈更新 (KB5039885),Windows 10 22H2,服务堆栈更新,2,13.2 MB,2026-06-10,服务堆栈质量改进，修复 CBS 组件存储损坏导致更新失败报错 0x800f081f。,KB5039885
Windows 11 24H2 安全更新 (KB5040445),Windows 11 24H2,安全更新,5,311.8 MB,2026-07-09,修复内核信息泄露 CVE-2026-32011 与 Defender 绕过漏洞，修复 BitLocker 恢复密钥误提示。,KB5040445
Windows Server 2022 紧急补丁 (KB5042510),Windows Server 2022,紧急补丁,2,61.0 MB,2026-07-29,紧急修复域控制器在处理 Kerberos PAC 验证时内存泄漏导致的认证风暴。,KB5042510
Windows 10 22H2 .NET Framework 3.5/4.8 安全更新,Windows 10 22H2,安全更新,7,78.6 MB,2026-07-09,修复 .NET 反序列化远程代码执行漏洞，改进 ASP.NET 请求验证，无需重启应用池。,KB5040621
Windows 11 23H2 日文语言包补充,Windows 11 23H2,语言包,198,48.7 MB,2026-03-18,日文界面语言包补充字体与输入法词库更新，修正部分界面翻译。,
Windows 11 24H2 累积更新 (KB5046228),Windows 11 24H2,累积更新,19,768.3 MB,2026-09-10,修复 24H2 升级后开始菜单搜索框无响应，优化内存压缩器在 32GB 以上设备的表现。,KB5046228
Windows Server 2016 安全更新 (KB5040434),Windows Server 2016,安全更新,4,241.2 MB,2026-07-09,修复 Win32k 提权与 OLE 自动化远程代码执行漏洞，建议尽快安装并重启。,KB5040434
